Top 10 Domestic_BO
Title,Description,Domestic_BO,International_BO,Worldwide_BO,Distributor,Opening_amount,Release_date,Mpaa_rating,Running_time,Genres,In_release,Widest_release
The Super Mario Bros. Movie,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom.,554261975.0,705907173.0,1260169148.0,Universal Pictures,"$146,361,865","Apr 5, 2023",PG,1 hr 32 min,"Adventure,Animation,Comedy,Family,Fantasy",53 days/7 weeks,"4,371 theaters"
Guardians of the Galaxy Vol. 3,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",284875817.0,393621132.0,678496949.0,Walt Disney Studios Motion Pictures,"$118,414,021","May 5, 2023",PG-13,2 hr 30 min,"Action,Adventure,Comedy,Sci-Fi",23 days/3 weeks,"4,450 theaters"
Ant-Man and the Wasp: Quantumania,"Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?",214426569.0,261566271.0,475992840.0,Walt Disney Studios Motion Pictures,"$106,109,650","Feb 17, 2023",PG-13,2 hr 4 min,"Action,Adventure,Comedy,Sci-Fi",100 days/14 weeks,"4,345 theaters"
John Wick: Chapter 4,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",185900016.0,242989279.0,428889295.0,Lionsgate,"$73,817,950","Mar 24, 2023",R,2 hr 49 min,"Action,Crime,Thriller",65 days/9 weeks,"3,855 theaters"
Creed III,"Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight.",156248615.0,117600000.0,273848615.0,United Artists Releasing,"$58,370,007","Mar 3, 2023",PG-13,1 hr 56 min,"Drama,Sport",86 days/12 weeks,"4,007 theaters"
Scream VI,"In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.",108161389.0,60800000.0,168961389.0,Paramount Pictures,"$44,447,270","Mar 10, 2023",R,2 hr 2 min,"Horror,Mystery,Thriller",79 days/11 weeks,"3,676 theaters"
Dungeons & Dragons: Honor Among Thieves,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",93054502.0,114500000.0,207554502.0,Paramount Pictures,"$37,205,784","Mar 31, 2023",PG-13,2 hr 14 min,"Action,Adventure,Comedy,Fantasy",58 days/8 weeks,"3,856 theaters"
Fast X,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,91235340.0,269815020.0,361050360.0,Universal Pictures,"$67,017,410","May 19, 2023",PG-13,2 hr 21 min,"Action,Adventure,Crime,Mystery,Thriller",9 days/1 week,"4,088 theaters"
Evil Dead Rise,"A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",65448000.0,76200000.0,141648000.0,Warner Bros.,"$24,504,315","Apr 21, 2023",R,1 hr 36 min,Horror,37 days/5 weeks,"3,417 theaters"
Cocaine Bear,"An oddball group of cops, criminals, tourists and teens converge on a Georgia forest where a huge black bear goes on a murderous rampage after unintentionally ingesting cocaine.",64388510.0,23240261.0,87628771.0,Universal Pictures,"$23,260,790","Feb 24, 2023",R,1 hr 35 min,"Comedy,Thriller",93 days/13 weeks,"3,571 theaters"

--------------------

Top 10 International_BO
Title,Description,Domestic_BO,International_BO,Worldwide_BO,Distributor,Opening_amount,Release_date,Mpaa_rating,Running_time,Genres,In_release,Widest_release
